filename,label,__hash__
Image_3399.jpg,Malignant,5916d902071f08b6e82946666384a08c
Image_106.jpg,Benign,4fc2243b9f3ff8812b25963e36de99d8
Image_3636.jpg,Malignant,663b7e502ec4cdbb4a0d294ad22a97f3
Image_3001.jpg,Benign,3c0aea5ec607a96ebce0fbf8e501dc3d
Image_341.jpg,Malignant,5ea52b02001f5c28a7d36a350cf47467
Image_4149.jpg,Malignant,5cf09ae97307ef531e099e90bb53f598
Image_2169.jpg,Malignant,1018c73807bef9f1efcf3ceaf8506e7b
Image_95.jpg,Malignant,34a82e1eb469f921ecde252a7f0fe8dc
Image_2195.jpg,Malignant,7adc1f960176dc3c2feaaedb1e78b3ee
Image_2591.jpg,Benign,205607f646a00371254c6bffe5097388
Image_2125.jpg,Benign,461b38f8df02837f57d051202d878ebf
Image_2489.jpg,Malignant,38b264a4fd32ab0114b8e663a1764676
Image_4490.jpg,Benign,8ec4ef567ce8f697424838a916d3654a
Image_1256.jpg,Benign,2f0c294e9c6cff7d78b8b0fd8d4b91f0
Image_680.jpg,Malignant,d53780a77700c91402594453c6385c58
Image_730.jpg,Benign,b8310d6158fc64ac53c7e0eb4a40ee7e
Image_1132.jpg,Benign,9fd5f721a48a2cc8e0bf53c6e6d15305
Image_4283.jpg,Malignant,88514a79586a261c290b6186ff943b11
Image_2649.jpg,Malignant,7c1eef0379f7fb8ff7ddc5a22484b1ef
Image_2605.jpg,Malignant,e7a443a391af583dd6d1199d1c20c6f3
Image_2824.jpg,Benign,d8acb194a0e5bf06f63bf11df919aa35
Image_5407.jpg,Malignant,b94f2dbd96278b828388fd9f5c559486
Image_520.jpg,Malignant,38213e67143fa0880fc05f7a3ace6915
Image_3308.jpg,Malignant,bb0b31d4bf5649e31bc3109e203d969b
Image_4391.jpg,Malignant,feca06d7c2ac7ce44e1b048c3883a013
Image_391.jpg,Malignant,e01f6b8b2f5243a3a2a7bba9121da428
Image_3671.jpg,Malignant,1a7bfc904b51e3cce9fd285065f8d1b3
Image_2852.jpg,Malignant,c349921fe64fa5ac2925265936218ff3
Image_256.jpg,Malignant,191496bedd701d9dcdb38f150fb7170c
Image_2197.jpg,Malignant,1f2b1368c11daa865e9355bb18011a32
Image_164.jpg,Malignant,b761297ade7db8f6c7f503d5bf761259
Image_2215.jpg,Malignant,8d5868a0ba05649f39ea58338d08c820
Image_4926.jpg,Malignant,552cfd4ed1233a04a7f392d404a6e5cd
Image_968.jpg,Benign,99c9f63ca117d734130fe81b10dc834a
Image_4324.jpg,Malignant,ea1de55ccc6fb05d30a09c9b9a682406
Image_4189.jpg,Malignant,7307f5254bff6a5c98061b18a6b4de8b
Image_2524.jpg,Malignant,d3831ee41d0ebf2f673db1bd3f69b17f
Image_4372.jpg,Benign,788a5dff79c03e21e44cd2828ad65a7a
Image_3373.jpg,Malignant,30243445044c63470af6778eca9b3f1c
Image_4474.jpg,Malignant,2dfd399a6e038d942b83759f63ce274b
Image_1166.jpg,Malignant,43236e55f9efb3f1539b2148801d26aa
Image_122.jpg,Malignant,794d8558d0d97bc5fcafce85c52d50bc
Image_352.jpg,Malignant,57bb1dc32d87463bc554ac99e9c5ee14
